timestamp,open,high,low,close,volume,returns,sma_5,sma_10,sma_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_position,volatility_10,volume_sma_5,high_low_range,log_returns
2024-01-01 00:19:00,4980400.738202301,4980455.609428777,4980325.651724834,4980380.522728588,182.3661787021373,-0.0014123037013352713,4989119.841850538,5000014.327879964,5005072.305387828,27.85811328971691,-4445.101042336784,-1810.593207882527,-2634.507834454257,5028691.944510923,5005072.305387828,4981452.666264732,-0.022696018566507183,0.0007553247486313742,148.2690772485873,129.95770394336432,-0.0014133019421978836
2024-01-01 00:20:00,4986929.8057636265,4988532.057265271,4986077.887966543,4987680.011310486,183.28989206557287,0.0014656487689215236,4987566.158720424,4997020.661894562,5004456.305953352,27.142114010380055,-4679.231354200281,-2389.6618022265716,-2289.5695519737096,5029246.539296386,5004456.305953352,4979666.072610318,0.1616349993417927,0.001040637863340433,157.97847743212768,2454.1692987279966,0.0014645757540785716
2024-01-01 00:21:00,4986322.660710896,4987230.374752071,4985646.228699231,4986553.911369521,97.18814501210996,-0.00022577630048670194,4986799.1647274885,4994148.0712526385,5003818.567597121,21.83746918255831,-4880.277370955795,-2891.487737813747,-1988.789633142048,5029794.276443601,5003818.567597121,4977842.858750641,0.16767689902830865,0.0010467687077406742,146.61408083167834,1584.1460528401658,-0.00022580179179259335
2024-01-01 00:22:00,4985290.937523394,4988659.3761116965,4983522.773192482,4986890.644402736,102.8346462606118,6.752820468802767e-05,4985785.87406228,4991187.803064313,5003035.766146076,23.211444409105155,-4955.464658449404,-3306.734305029813,-1648.7303534195908,5030093.926485445,5003035.766146076,4975977.6058067065,0.20165891655522117,0.001033028388928096,148.84427630416803,5136.602919214405,6.752592476145246e-05
2024-01-01 00:23:00,4979820.1320935385,4979868.581399823,4979737.132032146,4979785.581002278,109.40817161532,-0.0014247481862134093,4984258.134162722,4988476.824293805,5001516.7601279225,17.08047308051495,-5443.821643497795,-3736.1797716009655,-1707.6418718968293,5030248.813535567,5001516.7601279225,4972784.706720278,0.1218303854352755,0.0009733886158396365,135.0174067311504,131.44936767686158,-0.001425764104977401
2024-01-01 00:24:00,4976883.712122819,4977908.939174503,4976049.476717502,4977074.671760141,187.31243022000552,-0.000544382724525172,4983596.963969032,4986358.4029097855,4999920.866008008,16.973451020354076,-5947.999110341072,-4180.221180361576,-1767.7779299794956,5030397.301662276,4999920.866008008,4969444.43035374,0.1251826409912245,0.0008812573921060144,136.00665703472401,1859.4624570012093,-0.0005445309545989215
2024-01-01 00:25:00,4979375.237438821,4982714.06965143,4974289.081982222,4977626.741771911,125.76733336160096,0.0001109225897097943,4981586.310061318,4984576.234390871,4998411.214902384,18.408196338139547,-6232.005453603342,-4591.822022222682,-1640.1834313806603,5030203.027244474,4998411.214902384,4966619.402560295,0.17311594402317076,0.0008951488567210493,124.50214529392966,8424.987669207156,0.00011091643825422639
2024-01-01 00:26:00,4971852.366230558,4971948.637853432,4971801.254202701,4971897.525361327,89.34114827224774,-0.0011509935774220992,4978655.032859678,4982727.098793583,4996219.682318784,15.218668013152325,-6786.563128469512,-5031.834127461981,-1754.7290010075312,5029012.361480326,4996219.682318784,4963427.003157242,0.1291526404774382,0.0009073792234410716,122.93274594595718,147.38365073129535,-0.0011516564792423767
2024-01-01 00:27:00,4973673.505550052,4974484.6232911255,4972954.352963438,4973765.457409022,73.53539362191802,0.00037569801834536065,4976029.995460937,4980907.934761608,4993929.084137818,20.618462675304897,-7006.302326506004,-5427.493082994152,-1578.8092435118515,5026248.641649941,4993929.084137818,4961609.526625695,0.18805843456810867,0.00091272631085334,117.07289541821845,1530.2703276872635,0.00037562746151635374
2024-01-01 00:28:00,4971448.97223117,4972964.086046671,4969263.112106212,4970778.021440721,191.1918393360197,-0.0006006386899187754,4974228.483548624,4979243.308855673,4991606.942309807,22.91444640619997,-7311.625424466096,-5804.903565723312,-1506.7218587427842,5023551.791694095,4991606.942309807,4959662.092925519,0.17398624080959987,0.0008974411972130421,133.42962896235838,3700.9739404581487,-0.0006008191455994161
